date,cases
1/1/2021,2068
2/1/2021,2295
3/1/2021,1704
4/1/2021,1741
5/1/2021,2027
6/1/2021,2593
7/1/2021,3027
8/1/2021,2643
9/1/2021,2451
10/1/2021,2433
11/1/2021,2232
12/1/2021,3309
13/1/2021,2985
14/1/2021,3337
15/1/2021,3211
16/1/2021,4029
17/1/2021,3339
18/1/2021,3306
19/1/2021,3631
20/1/2021,4008
21/1/2021,3170
22/1/2021,3631
23/1/2021,4275
24/1/2021,3346
25/1/2021,3048
26/1/2021,3585
27/1/2021,3680
28/1/2021,4094
29/1/2021,5725
30/1/2021,5728
31/1/2021,5298
1/2/2021,4214
2/2/2021,3455
3/2/2021,4284
4/2/2021,4571
5/2/2021,3391
6/2/2021,3847
7/2/2021,3731
8/2/2021,3100
9/2/2021,2764
10/2/2021,3288
11/2/2021,3384
12/2/2021,3318
13/2/2021,3499
14/2/2021,2464
15/2/2021,2176
16/2/2021,2720
17/2/2021,2998
18/2/2021,2712
19/2/2021,2936
20/2/2021,2461
21/2/2021,3297
22/2/2021,2192
23/2/2021,2468
24/2/2021,3545
25/2/2021,1924
26/2/2021,2253
27/2/2021,2364
28/2/2021,2437
1/3/2021,1828
2/3/2021,1555
3/3/2021,1745
4/3/2021,2063
5/3/2021,2154
6/3/2021,1680
7/3/2021,1683
8/3/2021,1529
9/3/2021,1280
10/3/2021,1448
11/3/2021,1647
12/3/2021,1575
13/3/2021,1470
14/3/2021,1354
15/3/2021,1208
16/3/2021,1063
17/3/2021,1219
18/3/2021,1213
19/3/2021,1576
20/3/2021,1671
21/3/2021,1327
22/3/2021,1116
23/3/2021,1384
24/3/2021,1268
25/3/2021,1360
26/3/2021,1275
27/3/2021,1199
28/3/2021,1302
29/3/2021,941
30/3/2021,1133
31/3/2021,1482
